siteID,date,speciesID,individualID,s.scored,s.eplus,vwc,add. s.scored,add. s.eplus,Notes,total s.scored,total eplus
MNT,108,AGHY,1,5,0,2.9,,,,,
MNT,108,AGHY,2,5,0,4.8,,,,,
MNT,108,AGHY,3,3,0,18.5,,,,,
MNT,108,AGHY,4,5,0,6.6,,,,,
MNT,108,AGHY,5,5,0,4.8,,,,,
MNT,108,AGHY,6,5,0,4.8,,,,,
MNT,108,AGHY,7,5,0,8,,,,,
MNT,108,AGHY,8,5,0,10.2,,,,,
MNT,108,AGHY,9,0,0,4,,,,,
MNT,108,AGHY,10,5,0,12.3,,,,,
MNT,108,AGHY,11,5,5,8.7,15,15,,,
MNT,108,AGHY,12,5,0,5.5,,,,,
MNT,108,AGHY,13,5,0,5.8,,,,,
MNT,108,AGHY,14,5,0,5.5,,,,,
MNT,108,AGHY,15,5,0,8,,,,,
MNT,108,AGHY,16,5,0,2.9,,,,,
MNT,108,AGHY,17,0,0,6.6,,,,,
MNT,108,AGHY,18,5,0,5.8,,,,,
MNT,108,AGHY,19,5,0,8.7,,,,,
MNT,108,AGHY,20,5,5,4.8,15,10,,,
MNT,108,AGHY,21,5,1,5.8,15,6,,,
MNT,108,AGHY,22,5,0,4.8,,,,,
MNT,108,AGHY,23,5,0,6.9,,,,,
MNT,108,AGHY,24,5,0,3.3,,,,,
MNT,108,AGHY,25,5,0,6.6,,,,,
WSH,117,AGHY,27,5,0,34,,,,,
WSH,117,AGHY,28,5,0,65.1,,,,,
WSH,117,AGHY,31,5,0,30.8,,,,,
WSH,117,AGHY,33,5,0,27.5,,,,,
WSH,117,AGHY,34,5,0,29.5,,,,,
WSH,117,AGHY,35,5,0,33.3,,,,,
WSH,117,AGHY,36,5,0,29,,,,,
WSH,117,AGHY,37,5,0,37.7,,,,,
WSH,117,AGHY,38,5,0,34.8,,,,,
WSH,117,AGHY,39,5,0,27.5,,,,,
WSH,117,AGHY,43,5,0,37.7,,,,,
WSH,117,AGHY,44,5,0,43.4,,,,,
WSH,117,AGHY,45,5,0,42.7,,,,,
WSH,117,AGHY,47,5,0,30.8,,,,,
WSH,117,AGHY,48,5,0,40.2,,,,,
WSH,117,AGHY,49,5,0,69.8,,,,,
WSH,117,AGHY,50,5,0,91.5,,,,,
WSH,117,AGHY,51,5,0,28.3,,,,,
WSH,117,AGHY,52,5,0,29.3,,,,,
WSH,117,AGHY,53,5,0,30.8,,,,,
WSH,117,AGHY,54,5,0,26.8,,,,,
WSH,117,AGHY,55,5,0,25,,,,,
LEE,117,ERSP,56,5,0,40.9,,,,,
LEE,117,ERSP,57,5,0,41.6,,,,,
LEE,117,ERSP,58,5,0,42.6,,,,,
LEE,117,ERSP,59,5,0,38.7,,,,,
LEE,117,ERSP,60,5,0,28.3,,,,,
LEE,117,ERSP,61,5,0,31.5,,,,,
LEE,117,ERSP,62,5,0,34.4,,,,,
LEE,117,ERSP,63,5,0,22.1,,,,,
LEE,117,ERSP,64,5,0,27.9,,,,,
LEE,117,ERSP,65,5,0,82.8,,,,,
LEE,117,ERSP,66,5,0,21.7,,,,,
LEE,117,ERSP,67,5,0,57.5,,,,,
LEE,117,ERSP,68,5,0,24.6,,,,,
LEE,117,ERSP,69,5,0,42,,,,,
LEE,117,ERSP,70,5,0,38.7,,,,,
LEE,117,ERSP,71,5,0,45.2,,,,,
LEE,117,ERSP,72,5,0,36.9,,,,,
LEE,117,ERSP,73,5,0,36.6,,,,,
LEE,117,ERSP,74,5,0,36.2,,,,,
LEE,117,ERSP,75,5,0,26.1,,,,,
LEE,117,ERSP,76,5,0,47.4,,,,,
LEE,117,ERSP,77,5,0,36.6,,,,,
LEE,117,ERSP,78,5,0,43.8,,,,,
LEE,117,ERSP,79,5,0,45.2,,,,,
LEE,117,ERSP,80,5,0,45.6,,,,,
LEE,117,ERSP,81,5,0,39.5,,,,,
BST,117,AGHY,86,5,0,26.8,,,,,
BST,117,AGHY,87,5,0,26.8,,,,,
BST,117,AGHY,88,5,0,22.8,,,,,
BST,117,AGHY,89,5,0,18.1,,,,,
BST,117,AGHY,90,5,0,21.7,,,,,
BST,117,AGHY,91,5,0,19.5,,,,,
BST,117,AGHY,92,5,0,19.6,,,,,
BST,117,AGHY,94,5,0,30.8,,,,,
BST,117,AGHY,95,5,0,,,,,,
BST,117,AGHY,96,5,0,26.8,,,,,
BST,117,AGHY,97,5,0,19.2,,,,,
SJC,124,AGHY,115,5,1,19.9,,,,,
SJC,124,AGHY,116,6,5,7.6,,,,,
SJC,124,AGHY,117,5,5,4.2,,,,,
SJC,124,AGHY,118,5,5,15.7,,,,,
SJC,124,AGHY,119,5,0,26.4,,,,,
SJC,124,AGHY,120,5,5,13.1,,,,,
