"","species","plot","endo_01","id","origin_01","dist_a","dist_b","birth","endo_status_from_check","year_t","size_t","flw_count_t","spike_a_t","spike_b_t","spike_c_t","spike_d_t","year_t1","surv_t1","size_t1","flw_count_t1","spike_a_t1","spike_b_t1","spike_c_t1","spike_d_t1","mean_spike_t","mean_spike_t1","age","max_birth","min_death","id_update"
"1","AGPE",111,1,"111_109a",1,2.989,1.961,2012,1,2012,4,0,NA,NA,NA,NA,2013,1,7,2,NA,NA,NA,NA,NA,NA,0,2017,2015,"111_109a"
"2","AGPE",111,1,"111_109a",1,2.989,1.961,2012,1,2013,7,2,NA,NA,NA,NA,2014,1,10,3,NA,NA,NA,NA,NA,NA,1,2017,2015,"111_109a"
"3","AGPE",111,1,"111_109a",1,2.989,1.961,2012,1,2014,10,3,NA,NA,NA,NA,2015,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2017,2015,"111_109a"
"4","AGPE",111,1,"111_109b",1,2.989,1.961,2017,1,2016,NA,NA,NA,NA,NA,NA,2017,1,1,0,NA,NA,NA,NA,NA,NA,-1,2017,2015,"111_109b"
"5","FESU",127,1,"127_170a",1,2.599,1.933,2014,NA,2014,1,0,NA,NA,NA,NA,2015,1,1,0,NA,NA,NA,NA,NA,NA,0,2018,2017,"127_170a"
"6","FESU",127,1,"127_170a",1,2.599,1.933,2014,NA,2015,1,0,NA,NA,NA,NA,2016,1,1,0,NA,NA,NA,NA,NA,NA,1,2018,2017,"127_170a"
"7","FESU",127,1,"127_170a",1,2.599,1.933,2014,NA,2016,1,0,NA,NA,NA,NA,2017,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2018,2017,"127_170a"
"8","FESU",127,1,"127_170b",1,2.599,1.933,2018,NA,2017,NA,NA,NA,NA,NA,NA,2018,1,1,0,NA,NA,NA,NA,NA,NA,-1,2018,2017,"127_170b"
"9","POSY",12,1,"12_23.5a",1,NA,NA,2009,NA,2009,1,0,NA,NA,NA,NA,2010,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2014,2010,"12_23.5a"
"10","POSY",12,1,"12_23.5b",1,NA,NA,2014,NA,2014,1,0,NA,NA,NA,NA,2015,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2014,2010,"12_23.5b"
"11","LOAR",36,0,"36_1a",1,NA,NA,2009,NA,2008,NA,NA,NA,NA,NA,NA,2009,1,1,0,NA,NA,NA,NA,NA,NA,-1,2019,2010,"36_1a"
"12","LOAR",36,0,"36_1a",1,NA,NA,2009,NA,2009,1,0,NA,NA,NA,NA,2010,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2019,2010,"36_1a"
"13","AGPE",111,1,"111_109b",1,2.989,1.961,2017,1,2017,1,0,NA,NA,NA,NA,2018,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2017,2015,"111_109b"
"14","FESU",127,1,"127_170b",1,2.599,1.933,2018,NA,2018,1,0,NA,NA,NA,NA,2019,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2018,2017,"127_170b"
"15","LOAR",36,0,"36_1b",1,NA,NA,2019,NA,2018,NA,NA,NA,NA,NA,NA,2019,1,1,0,NA,NA,NA,NA,NA,NA,-1,2019,2010,"36_1b"
"16","ELRI",107,1,"107_H10",1,0.762,2.054,2017,NA,2016,NA,NA,NA,NA,NA,NA,2017,1,1,0,NA,NA,NA,NA,NA,NA,-1,2017,Inf,NA
"17","ELRI",107,1,"107_H10",1,0.762,2.054,2017,NA,2017,1,0,NA,NA,NA,NA,2018,1,1,0,NA,NA,NA,NA,NA,NA,1,2017,Inf,NA
"18","FESU",126,0,"126_325",1,1.817,0.722,2016,NA,2016,NA,NA,NA,NA,NA,NA,2017,1,1,0,NA,NA,NA,NA,NA,NA,-1,2018,2019,NA
"19","FESU",126,0,"126_325",1,1.817,0.722,2016,NA,2017,1,0,NA,NA,NA,NA,2018,1,1,0,NA,NA,NA,NA,NA,NA,0,2018,2019,NA
"20","FESU",130,1,"130_A1",1,NA,NA,2016,NA,2015,NA,NA,NA,NA,NA,NA,2016,1,1,0,NA,NA,NA,NA,NA,NA,-1,2017,2017,NA
"21","FESU",130,1,"130_A1",1,NA,NA,2016,NA,2016,1,0,NA,NA,NA,NA,2017,0,NA,NA,NA,NA,NA,NA,NA,NA,-1,2017,2017,NA
"22","FESU",126,0,"126_325",1,1.817,0.722,2016,NA,2016,1,0,NA,NA,NA,NA,2017,1,1,0,NA,NA,NA,NA,NA,NA,-1,2018,2019,NA
"23","FESU",126,0,"126_325",1,1.817,0.722,2016,NA,2017,1,0,NA,NA,NA,NA,2018,1,1,0,NA,NA,NA,NA,NA,NA,-1,2018,2019,NA
"24","POAL",3,1,"3_248",1,NA,NA,2012,NA,2012,2,0,NA,NA,NA,NA,2013,1,1,0,NA,NA,NA,NA,NA,NA,0,2013,2015,NA
"25","POAL",3,1,"3_248",1,NA,NA,2012,NA,2013,1,0,NA,NA,NA,NA,2014,1,1,0,NA,NA,NA,NA,NA,NA,1,2013,2015,NA
"26","POAL",3,1,"3_248",1,NA,NA,2012,NA,2014,1,0,NA,NA,NA,NA,2015,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2013,2015,NA
"27","POAL",156,1,"156_22.5",1,NA,NA,2011,NA,2011,1,0,NA,NA,NA,NA,2012,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2012,2012,NA
"28","POAL",156,1,"156_22.5",1,NA,NA,2011,NA,2012,1,0,NA,NA,NA,NA,2013,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2012,2012,NA
"29","POSY",1,1,"1_375",1,3.718,3.538,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,1,0,NA,NA,NA,NA,NA,NA,0,2014,2018,NA
"30","POSY",1,1,"1_375",1,3.718,3.538,2013,NA,2014,1,0,NA,NA,NA,NA,2015,1,1,0,NA,NA,NA,NA,NA,NA,1,2014,2018,NA
"31","POSY",1,1,"1_375",1,3.718,3.538,2013,NA,2015,1,0,NA,NA,NA,NA,2016,1,5,0,NA,NA,NA,NA,NA,NA,2,2014,2018,NA
"32","POSY",1,1,"1_375",1,3.718,3.538,2013,NA,2016,5,0,NA,NA,NA,NA,2017,1,5,2,27,33,NA,NA,NA,30,2,2014,2018,NA
"33","POSY",1,1,"1_375",1,3.718,3.538,2013,NA,2017,5,2,27,33,NA,NA,2018,0,NA,NA,NA,NA,NA,NA,30,NA,3,2014,2018,NA
"34","POSY",1,1,"1_376",1,3.666,3.627,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,3,0,NA,NA,NA,NA,NA,NA,0,2014,2020,NA
"35","POSY",1,1,"1_376",1,3.666,3.627,2013,NA,2014,3,0,NA,NA,NA,NA,2015,1,7,1,16,NA,NA,NA,NA,16,1,2014,2020,NA
"36","POSY",1,1,"1_376",1,3.666,3.627,2013,NA,2015,7,1,16,NA,NA,NA,2016,1,6,1,32,NA,NA,NA,16,32,2,2014,2020,NA
"37","POSY",1,1,"1_376",1,3.666,3.627,2013,NA,2016,6,1,32,NA,NA,NA,2017,1,14,4,42,34,30,NA,32,35.3333333333333,2,2014,2020,NA
"38","POSY",1,1,"1_376",1,3.666,3.627,2013,NA,2017,14,4,42,34,30,NA,2018,1,2,0,NA,NA,NA,NA,35.3333333333333,NA,3,2014,2020,NA
"39","POSY",1,1,"1_377",1,3.615,3.566,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,4,0,NA,NA,NA,NA,NA,NA,0,2014,2019,NA
"40","POSY",1,1,"1_377",1,3.615,3.566,2013,NA,2014,4,0,NA,NA,NA,NA,2015,1,9,1,37,NA,NA,NA,NA,37,1,2014,2019,NA
"41","POSY",1,1,"1_377",1,3.615,3.566,2013,NA,2015,9,1,37,NA,NA,NA,2016,1,9,1,25,NA,NA,NA,37,25,2,2014,2019,NA
"42","POSY",1,1,"1_377",1,3.615,3.566,2013,NA,2016,9,1,25,NA,NA,NA,2017,1,4,0,NA,NA,NA,NA,25,NA,2,2014,2019,NA
"43","POSY",1,1,"1_377",1,3.615,3.566,2013,NA,2017,4,0,NA,NA,NA,NA,2018,1,1,0,NA,NA,NA,NA,NA,NA,3,2014,2019,NA
"44","POSY",1,1,"1_379",1,NA,NA,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,2,0,NA,NA,NA,NA,NA,NA,0,2014,2018,NA
"45","POSY",1,1,"1_379",1,NA,NA,2013,NA,2014,2,0,NA,NA,NA,NA,2015,1,5,0,NA,NA,NA,NA,NA,NA,1,2014,2018,NA
"46","POSY",1,1,"1_379",1,NA,NA,2013,NA,2015,5,0,NA,NA,NA,NA,2016,1,7,1,37,NA,NA,NA,NA,37,2,2014,2018,NA
"47","POSY",1,1,"1_379",1,NA,NA,2013,NA,2016,7,1,37,NA,NA,NA,2017,1,2,0,NA,NA,NA,NA,37,NA,2,2014,2018,NA
"48","POSY",1,1,"1_379",1,NA,NA,2013,NA,2017,2,0,NA,NA,NA,NA,2018,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2014,2018,NA
"49","POSY",1,1,"1_380",1,3.547,3.541,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,2,0,NA,NA,NA,NA,NA,NA,0,2014,2019,NA
"50","POSY",1,1,"1_380",1,3.547,3.541,2013,NA,2014,2,0,NA,NA,NA,NA,2015,1,3,0,NA,NA,NA,NA,NA,NA,1,2014,2019,NA
"51","POSY",1,1,"1_380",1,3.547,3.541,2013,NA,2015,3,0,NA,NA,NA,NA,2016,1,9,2,24,36,NA,NA,NA,30,2,2014,2019,NA
"52","POSY",1,1,"1_380",1,3.547,3.541,2013,NA,2016,9,2,24,36,NA,NA,2017,1,3,0,NA,NA,NA,NA,30,NA,2,2014,2019,NA
"53","POSY",1,1,"1_380",1,3.547,3.541,2013,NA,2017,3,0,NA,NA,NA,NA,2018,1,1,0,NA,NA,NA,NA,NA,NA,3,2014,2019,NA
"54","POSY",1,1,"1_381",1,NA,NA,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,4,0,NA,NA,NA,NA,NA,NA,0,2014,2018,NA
"55","POSY",1,1,"1_381",1,NA,NA,2013,NA,2014,4,0,NA,NA,NA,NA,2015,1,8,1,78,NA,NA,NA,NA,78,1,2014,2018,NA
